movie_title,release_year,certificate,time_num,time_unit,genre1,genre2,genre3,stars,score,description,director_name,cast1,cast2,cast3,cast4,votes
Shazam!,2019,PG-13,132,min,Action,Adventure,Comedy,7,71,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,David F. Sandberg,Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer,335718
Little Women,2019,PG,135,min,Drama,Romance,NA,7.8,91,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,203580
A Bad Moms Christmas,2017,R,104,min,Comedy,NA,NA,5.6,42,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",Jon Lucas,Scott Moore,Mila Kunis,Kristen Bell,Kathryn Hahn,51131
The Grinch,2018,PG,85,min,Animation,Comedy,Family,6.3,51,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,Yarrow Cheney,Scott Mosier,Benedict Cumberbatch,Cameron Seely,Rashida Jones,70679
Last Christmas,2019,PG-13,103,min,Comedy,Drama,Fantasy,6.5,50,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",Paul Feig,Madison Ingoldsby,Emma Thompson,Boris Isakovic,Lucy Miller,78112
Happiest Season,2020,PG-13,102,min,Comedy,Drama,Romance,6.6,69,"A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas by revealing a nasty secret.",Clea DuVall,Kristen Stewart,Mackenzie Davis,Mary Steenburgen,Victor Garber,39569
Holidate,2020,TV-MA,104,min,Comedy,Romance,NA,6.1,44,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",John Whitesell,Emma Roberts,Luke Bracey,Kristin Chenoweth,Frances Fisher,65781
Klaus,2019,PG,96,min,Animation,Adventure,Comedy,8.1,65,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,Carlos Martínez López,Jason Schwartzman,J.K. Simmons,Rashida Jones,148613
Christmas at Castle Hart,2021,TV-G,84,min,Romance,NA,NA,6.3,NA,"Brooke Bennett goes to Ireland for Christmas to search for her Irish roots. While there, she meets Aiden Hart. Mistaken for an elite event planner, she's hired to host his castle's epic Christmas party.",Stefan Scaini,Lacey Chabert,Stuart Townsend,Ali Hardiman,Kate O'Toole,1328
The Christmas Train,2017,TV-G,99,min,Drama,Romance,NA,6.4,NA,"A cynical journalist decides to take a train from Washington, D.C. to Los Angeles for Christmas to get inspiration for a story in honor of his late father. He gets to know the other passengers and runs into an old flame while aboard.",Ron Oliver,Dermot Mulroney,Kimberly Williams-Paisley,Danny Glover,Joan Cusack,2682
Instant Family,2018,PG-13,118,min,Comedy,Drama,NA,7.3,57,A couple find themselves in over their heads when they foster three children.,Sean Anders,Mark Wahlberg,Rose Byrne,Isabela Merced,Gustavo Escobar,107576
The Christmas Chronicles,2018,PG,104,min,Adventure,Comedy,Family,7,52,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.",Clay Kaytis,Kurt Russell,Darby Camp,Judah Lewis,Oliver Hudson,72575
A Christmas Wish,2019,TV-PG,90,min,Comedy,Drama,Family,6.3,NA,"Maddie slips in a wish that her sister Faith will experience true love for the first time. The next day, Faith meets seemingly-perfect Andrew, but is he really the one for her?",Emily Moss Wilson,Hilarie Burton,Tyler Hilton,Megan Park,Lee Norris,882
Fatman,2020,R,100,min,Action,Adventure,Comedy,5.9,40,"A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",Eshom Nelms,Ian Nelms,Mel Gibson,Walton Goggins,Marianne Jean-Baptiste,25257
